,stemming_data,sentiment
325,waalaikumsalam garuda,neutral
334,kereen timnasku,neutral
177,mana,neutral
277,nyala abangkuuhhh,neutral
501,mental gis nyala giswkwk,neutral
186,gasss abangquh,neutral
273,alhamdulillah semifinal,neutral
356,riofajarkcolongan mulu,neutral
121,raja asia,neutral
396,sabarr,neutral
337,emang begadang,neutral
460,panas dingin mbak,neutral
449,panas tiris pkonamah,neutral
360,nyala garuda kuu,neutral
90,informasi main indonesia panggil tim nasional bkin ucap selamat tim nasional story,neutral
441,main bangga liga,neutral
79,alhamdulillah cinta,neutral
456,nyalain abang,neutral
16,ente main san,neutral
215,hoki caraka tolong poster nathan aon,neutral
184,alhamdulillah bias korea jiwa indonesia,negative
400,waalaikumsalam,neutral
20,wasit korsel indonesia jek enak jaman,neutral
509,sih acara towel sesi netizen,neutral
345,hwang cium pipi hong buka google khas qatar,neutral
59,dunia gemerlap,neutral
283,mantap tim nasional moga semifinal menang masuk final aamiin,neutral
493,waaaaaaaaaaaaaaaaaaaaaaaa,neutral
438,lupa jalan pulang mas king indonesia terbang,neutral
158,pattynamafanpage yess pattynama,neutral
26,bismillahirrahmanirrahim,neutral
270,bangjay,neutral
44,uzb kalah bobol alih perhati tim nasional menyalaaa,neutral
317,lupa juni gelora bung karno jakarta lawan irak bang,neutral
415,bangga,neutral
461,baik seng kuu,neutral
289,panggil argentina,neutral
130,marselino false nine apit witan sroyerramadhan sananta rusak kombinasi umpan pendek ujung main crosing crosing uzbek main nya besarhoky caraka bagus striker pantul suka salah ambil putus salah pasing pede diaalternatif baik marselino false nine karrna mampu nahan bola lumayan,neutral
339,mantappp,neutral
32,ayo tim nasional menang masuk olimpiade paris,neutral
117,tanggal nobar jang,neutral
260,badan dilumurin arang bang biar sangka imigran tau otak dungu,neutral
223,waalaikumsalam garuda sehatsehat,neutral
419,nyala adinda indonesia,neutral
60,bungsungkan dada tatap mata lawan yakin meraihnyadoaku menyertaimumeraih prestasi level,neutral
399,king remacth lawan argentina,neutral
25,bangga,neutral
18,wasit wasit var anjeng,neutral
197,rizkyalamsyah upssss,neutral
69,het dimanamana komenan,neutral
291,uhuyy,neutral
425,limagaib mental tempe akun barang milik sok main tim nasional,positif
98,nyala abang,neutral
316,bang kerja johor malaysia ketemu bang,neutral
411,qavar pulang sendirisendiri rombong,neutral
24,terima kasih tim nasional juang keras semangat menyerahproud hormat setinggi,neutral
276,semi final nya bang,neutral
304,alhamdulillah indonesia juara,neutral
376,super proud,positif
6,ayo indonesia,neutral
120,menang,neutral
47,moga menang,neutral
190,nyala nyala,neutral
17,semangat garuda,neutral
484,moga hasil,neutral
370,wkwkwkwkw,neutral
4,beyond proud,positif
239,telepon argentina,neutral
387,siapp,neutral
63,ajg,neutral
114,masha allah indonesia handsome,positif
412,assalamualikum semi final,neutral
423,sananta,neutral
30,terimankasih erik thohir terliba keeberhhasilan tim nasional,neutral
279,kwofficial preman mampir kesini sehatsehat bang,neutral
307,lfg,neutral
27,nyala abang,neutral
8,bismillah mulaiii dek dekan,neutral
185,tercyduk,neutral
472,limagaib mental tempe,neutral
112,bismillahirrahmanirrahim tim nasional juara,neutral
38,juara empatkalian juara satu indonesia semangat garuda hebat,neutral
161,nyala tim nasional,neutral
488,alhamdulillah sia nobar jelang subuh rame lancar jalan puluh merinding lemes bangga,neutral
122,walaikumsalam insyaallah final aminn,neutral
118,main main yaa qatar,neutral
271,waallaikumussalam nyala anak gede kuhhh,neutral
179,asi games ulang,neutral
439,the giant killer,negative
354,wasit rada kli,neutral
148,wak senang,neutral
388,salah tim nasional,neutral
434,berkelaaazz,neutral
216,prouddd,neutral
326,alhamdulillah senam jantung,neutral
500,siwaseko pikir baju corak hijau sejarah wkkw nonton,neutral
463,waalaikumsalam bismillah final,neutral
145,abang cita cita kapal lawd,neutral
379,qavar duluan gojek bang,neutral
70,hati lihat sang garuda terbang suka sepakbola indonesia maju aneh orang indonesia,neutral
369,uyeee,neutral
172,alhamdulillah jalur langit salah,neutral
515,legend,neutral
451,proud,positif
233,yakan,neutral
198,angkat sby pns,neutral
85,assalamualaikum semifinal runner laju semifinal yah qatar,neutral
113,alfatihah,neutral
431,ramadhan seblak rong ewu mangatus,neutral
149,haha dosa,positif
96,nyala mase,neutral
156,juni main klok,neutral
486,nyala,neutral
253,walaikumsalam,neutral
87,waalaikumsalaam warahmatullahi wabarokatuuh bismillah insyaallah pasu jalur langit kawal juara biidznillah,neutral
107,dalleka,neutral
169,capt,neutral
167,keep the spirit guyss dontnwaste chance next game,positif
204,waalaikumsalam warohmatullah wabarokatuh langsung final juara kakak bismillah indonesiapastibisa indonesiajuara,neutral
250,prouddd,neutral
78,angewako,neutral
321,ayo masuk final,neutral
234,masyaallah alhamdulillah,neutral
491,cocok abroad sih ermando arif,neutral
123,selamat juang adik adik selang masuk finalsejarah catat kalianbermainlah timkurangi egois kawan potensi cetak gol gawang lawan cepat over,neutral
389,mantap,neutral
430,latih sty tim nasional indonesia glorygaruda warrior,neutral
266,alhamdulillah merdeka,neutral
367,baris towel,neutral
414,cinta indonesia fano,neutral
340,hehe timnasnya ikut towel,neutral
267,menyalahhh sayangkuuhhh,neutral
487,muannnnnntep budakssss,neutral
421,semangat senang istri orang,neutral
397,bangga,neutral
285,bang jeb ngeprank,neutral
37,bawa main tim nasional bal suruh latih passing jugling pakai bola api kenal ajar bawa bola,neutral
201,nyala indonesia,neutral
143,yesssssss nyala terussssgarudakusemakin kerucut kepuncaklawan kuatsemakin gairahgaruda muda melibasnyakita bisakita menangkita lari dunia juarakita bisakita menangbismillah,neutral
378,korea keok,neutral
499,mantaaab,neutral
296,tidur lee,neutral
375,bangga,neutral
62,walaikumussalam,neutral
468,langkah olimpiade paris,neutral
115,tolong revisi watermark nya ganggu,neutral
93,towel kontol,neutral
420,cintaaaa bangett poko,neutral
7,bismillah menang,neutral
374,mimpi tolong bangunin kakak,neutral
358,menyalaa,neutral
351,gara gara ngantukyaa,neutral
162,nyala garuda,neutral
154,kwofficial swenggol dwong,neutral
395,very proud the guys,positif
39,sok kali,positif
327,manyalaaa garudaa,neutral
203,ajar weee,neutral
454,libur nasional pakkk indonesia,neutral
150,gassss final,neutral
407,terima kasihh indonesia,neutral
151,ciling,neutral
319,nyala abang,neutral
496,sok tim nasional indonesia lolos final juara piala asia,positif
127,enka lihat tim nasional terang jamane egy ngikuti,neutral
382,ayo,neutral
100,tandinge lapang mindaka,neutral
147,megenta abangkuu,neutral
244,gaul ceuk,neutral
409,semangat garuda indonesia,neutral
101,korea,neutral
363,papa fano,neutral
126,bangga,neutral
187,aaaaaaaaaakkkkkkkkkkk,neutral
207,nyala ayangayangkuu,neutral
251,guru lin,neutral
489,waalaikumsalam sidang jumat bahagia,neutral
310,yokk yok finall bismillah insyaallah,neutral
372,ilmu padi abangkuuh,neutral
312,the bestt,neutral
410,menyalaaaaa,neutral
295,menyalaa timnaskuuu,neutral
129,kelazz,neutral
315,malam tidur gara-gara tim nasional heee,neutral
228,hahaha sigana keur neangan bahan handuk,positif
433,nyala abang legends,neutral
224,semi final kudu nonton bareng empat alun kota min tolong rekomendasi,neutral
133,nyasar,neutral
444,nvvnn,neutral
416,sholat jumat nya full senyum,neutral
341,garuda terbang tinggimenyala abangq,neutral
391,tuhhh jamaah sholat jumat bahagia,neutral
302,semangat rakyat indonesia bahagia,neutral
479,jumat berkahh,neutral
306,negara jago,neutral
299,jantung aman,neutral
380,vietnam malaysia thailand main main,neutral
519,gilaaaaaaaaa,neutral
116,panjul salah anj,neutral
183,main epep,neutral
457,mantap kawal olimpiade paris,neutral
352,jenggotid martinez,neutral
343,lord arkhan fikri rusuh pas trakhir,neutral
503,mantapppppppp,neutral
373,aduh kakak maaf lupa bangunin pikir pasang alarm,negative
238,waalaikumsalam nyala,neutral
508,lets gow garuda,neutral
467,walaikumsalam masyaallah tim nasional alhamdulillah,neutral
168,proud our hero,positif
140,ayo garuda terbang lagiii,neutral
202,naik gapokkk,neutral
263,bilangin argentina king indonesia rematch,neutral
237,doa tiga malam masyarakat indonesia proud tim nasional indonesia,negative
119,selamat tim nasional indonesia,neutral
124,halo bang jayadi,neutral
362,senang istri orang jalan round juni capt,neutral
229,gokilllll terbang garudaa,neutral
417,gasssssbismillah,neutral
359,top,positif
131,waallaykumsalam warohmatullahi whatsapp barokatuh semangat,neutral
290,gne besiak kance suporter korsel mule ngoloang bejulu soalne pas tame sik lok hubner untong ulang,neutral
426,panggil akrab,neutral
111,lit,neutral
405,lupa berkat erspo desain jersey tim nasional dinamis baju erspo main tim nasional tangguh tahan medan lapang kena angin qatar air ways main tim nasional lari kencang lari main tim nasional alami turbulensing berterimakasih erspo official,neutral
338,jaman ibul photonya,neutral
137,bilang naturalisasi lho kerennnn tim nasional,neutral
506,mek mataem,neutral
46,bener,neutral
481,heh tausah slingkuh,negative
68,asmawi turun,neutral
288,menyalaaa,neutral
89,doa bangsa indonesia henti unt tim nasional,negative
247,informasi kos daerah paris guys budget minimal stadion olimpiade,neutral
191,proud,positif
398,auto ngantuk begadang indonesia menang,neutral
163,bagus gameee congratssss,neutral
13,bang wkw,neutral
36,lawan squad chetahh,neutral
29,semangat tim nasional indonesia nyala tim nasional indonesia,neutral
174,bangga,neutral
146,menyalaaa,neutral
413,waalaikumsalam calon juara,neutral
422,maksud,neutral
226,bukti cibir manyala kakak,neutral
99,moga menang garuda,neutral
53,bismillahirrahmanirrahim tim nasional menang dukung doa tim nasional cinta,negative
245,alhamdulillahselamat sayang,neutral
386,asli ngadak marules jantung meni carangkeul,neutral
393,waalaikumsalam anak anak bangsa mari masuk tiket semi final tunggu beranda tiket final,neutral
182,light brother,neutral
43,asnawi mana,neutral
453,coba sebut sejarah nya,neutral
402,jalan paris,neutral
211,ucap selamat,neutral
287,buset rematch,neutral
259,bangga ddi orang indonesia,neutral
427,apasaya pendapatjadikan motivasi plajaranintinya dua mental tempe,neutral
5,bismillah,neutral
261,menyalanyala,neutral
490,jalan olimpiade,neutral
104,minimal olimpiade bolo,neutral
231,jeru,neutral
443,terimakasih your support,positif
218,towelll butuh kipas angin,neutral
437,tombol juara,neutral
175,alhamdulillah masuk semi final,neutral
102,terbang garuda indonesia,neutral
297,lettsgoww,neutral
220,shik shak shok,neutral
64,final,neutral
49,waalaikumsalam,neutral
33,rafael ganteng bgttttttt,neutral
272,kampung,neutral
332,uwaraw,neutral
205,custom jersey tim nasional request namanomor original basic suporter bahan dryfit microdot tunggu gaasss aman jersymu more informasi,positif
464,akun khusus timnasjadi,neutral
28,proud tim nasional indonesia,positif
404,nyala garudakuu,neutral
235,gekk kencan mbe dadi meluuu,neutral
265,wkkwkw panas dingin,neutral
383,emiernardo arimartinez,neutral
293,alhamdulillah selamat,neutral
166,alhamdulillah,neutral
520,manual mbak ambil air cipratin mata pakai tangan,neutral
142,menyalaaaaaaaa,neutral
65,ayo tim nasional menang lawan uzbekistan,neutral
139,witan ayooo kembali performa nya kaya kemarin lawan jordanhalo kakak ganteng marselino mana finishing touch nya kakak ganteng ganteng kurang ego nya gawang lawan kemarin deng jordan bagus tuhnanti main kaya lawan jorsan yaaatik tok nya dapet bangethalo kakak ipar jener ngoper struickkaya kemarin korsel yaaaa love all tim nasional indonesia,positif
132,lanjut mbak pika,neutral
498,terbang garuda terimakasih latih main staff erick tohir jajar,neutral
9,sosmed wasit min nya diruqiiah wasit,neutral
331,rata juara,neutral
485,alhamdulillah allah,neutral
67,emott,neutral
305,nyala abang abangkuhhh,neutral
15,yok yok ambil posisi,neutral
160,iya,neutral
41,jantung lepas ketemu operasi polisi jalan canda,neutral
384,nonton diem,neutral
480,waalaikumsalam garuda,neutral
497,vamos,neutral
221,yee ayah beno,neutral
284,nyala,neutral
473,sepeleeeeeeeee,neutral
448,salute kakak,neutral
342,telolet min,neutral
241,gelisah tidur,neutral
212,kere tulen sekaliii,neutral
217,seblak tokoyaki,neutral
300,lest,neutral
476,bagus,neutral
256,adohnya dolane,neutral
510,jumat berkah,neutral
478,siwaseko masuk piala asia senang istri orang kali masuk kwkw nonton kah,neutral
308,trimakasih,neutral
355,mantap,neutral
274,sok asik,positif
206,bubarcelona,neutral
165,mera tidur butuh uang kemarin,neutral
45,aeprasetya bismillah dukung penuh moga lolos final,neutral
222,alhamdulillah nyala,neutral
406,semifinal terimakasih allah,neutral
195,lupa,neutral
314,alhamdulillah,neutral
264,kubur dek,neutral
109,informasi nobar kepala polisi resor,neutral
55,komen uakeh pehh indonesia wani,neutral
394,bela nonton subuh nya tinggal ngumpul,neutral
2,uhuyyyy,neutral
459,proud,positif
504,mantap garuda,neutral
51,yok yokk,neutral
424,kelassss,neutral
84,fly high,neutral
210,mantap jiwa,neutral
35,nan assalamualaikum kalah alah,neutral
435,benerrr rrrrraaaa,neutral
268,min indonesia kick off semifinal,neutral
432,sejarah prtama kali garuda lolos semifinal mngalahkan korsel drama adu penalti raih tiket olimpiade paris informasi komentator senang lolos olimpiade paris babak play off lawan suka cewek pria tanggal mei fokus optimis final champion asi cup bravo garuda nusantara saran mohon maaf erick thohir hormat buat patung latih shintaeyong kali sejarah ubah kembang pesat tim nasional garuda junior senang istri orang ajang turnamen asi cup,positif
371,towel towel mano,neutral
95,menang lagiiii lawan uzbebismillah,neutral
344,moga wujud impi masyarakat indonesiainsallah tembus final,neutral
495,tunggu libur nasional min,neutral
54,gituu kelas ronaldo messi gagal penalti,neutral
350,terimakasih tim nasional bangga warga indonesia mbah dukun terimakasih bantu jalur,neutral
269,air mata bahagia,neutral
246,salah taehyung dimainin,neutral
14,kere tulen abizzzz,neutral
320,congratulations abang,positif
92,inshaallah juara aamiin tanding tegang drama korea tdr pagi masuk kerja nonton tim nasional,neutral
392,coba wasit,neutral
278,doa lee,negative
170,alhamdulillah bangga banget indonesia hebat,neutral
333,mata,neutral
514,waalaiksumsalam selamat,neutral
138,nyala,neutral
311,kerennn indonesia,neutral
502,asa kaya nonton piala dunia,neutral
324,bangga,neutral
248,alhamdulillah,neutral
56,terbang garudaaa,neutral
368,kelas abang,neutral
52,uluh,neutral
475,aeeeellll,neutral
178,bismillahassalamualaikum paris,neutral
452,bang jay,neutral
194,lari,neutral
518,nyala timnaskuuu,neutral
470,setruk,neutral
192,jos full senyum masseh,neutral
173,bismillah tim nasional indonesia champions afc,positif
61,mulusss,neutral
483,menyalaaaaa,neutral
50,inggih mas support jalur langit hehe,positif
349,asli tunduh git,neutral
240,kagum tukang,neutral
257,ayooo,neutral
22,apa hasil malam ttep bangga juang trimakasih semangat garuda,neutral
318,ewakooo garuda muda,neutral
466,waalaikumsalam juaraa insya allah,neutral
164,marcellino sanantha next game waste chance anymore,negative
281,jalan juaraa,neutral
450,kayak request main malam jumat,neutral
196,nonton afc qatar uzbekistan arab saudi menang uzbekistan indonesia lawan uzbekistan ayo indonesia menang suporter qatar indonesia,neutral
390,vamossssssss,neutral
298,baik,neutral
418,baik,neutral
348,menyalaaaaa,neutral
262,debut semi final,neutral
313,ayo bang jalan paris charter angkot kemiling patungan bensin,neutral
153,camko,neutral
134,ayoo indonesiaa kencang doadoa klean,neutral
155,satu bangsa rakyat indonesia menang bahagia vamos pasu maju gentar,neutral
364,kere tulen gaa tim nasional guee,neutral
103,insyaallah menang indonesia uzbec,neutral
377,alhamdulillah cetak sejarah,neutral
91,proud,positif
465,bang langsung dmsaya,neutral
335,insyaallah juara aamiin,neutral
219,come,neutral
474,seru,neutral
125,prince jordi,neutral
521,proud youuuu garudakuuuu,positif
21,tetap main jujur walopun kaaj wasit juaranyasemangat,neutral
193,nyala indonesia,neutral
74,burnburn kick uzbekz out,neutral
110,alhamdulillah,neutral
275,wel,neutral
353,kerja sty wenak,neutral
440,bang jay,neutral
106,optimis,neutral
